[DEBUG][2018-04-30 21:57:45,676][org.springframework.web.context.support.XmlWebApplicationContext]Publishing event in Root WebApplicationContext: ServletRequestHandledEvent: url=[/images/newimg/pic-1/search1.png]; client=[0:0:0:0:0:0:0:1]; method=[GET]; servlet=[springmvc]; session=[13EADC095CF14E8195FB31BCCF9561EF]; user=[null]; time=[1ms]; status=[OK]
[DEBUG][2018-04-30 21:57:46,146][org.springframework.web.servlet.DispatcherServlet]Bound request context to thread: org.apache.catalina.connector.RequestFacade@1b076745
[DEBUG][2018-04-30 21:57:46,147][org.springframework.web.servlet.DispatcherServlet]DispatcherServlet with name 'springmvc' processing GET request for [/createqqq]
[DEBUG][2018-04-30 21:57:46,147][org.springframework.web.servlet.DispatcherServlet]Testing handler map [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping@5b5e2a19] in DispatcherServlet with name 'springmvc'
[DEBUG][2018-04-30 21:57:46,147][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Looking up handler method for path /createqqq
[DEBUG][2018-04-30 21:57:46,147][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Found 1 matching mapping(s) for [/createqqq] : [{[/createqqq]}]
[DEBUG][2018-04-30 21:57:46,147][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Returning handler method [public java.lang.String com.imut.controller.MyQuestionnaireController.createqqq()]
[DEBUG][2018-04-30 21:57:46,147][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'myQuestionnaireController'
[DEBUG][2018-04-30 21:57:46,147][org.springframework.web.servlet.DispatcherServlet]Testing handler adapter [org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter@5ec2e16e]
[DEBUG][2018-04-30 21:57:46,147][org.springframework.web.servlet.DispatcherServlet]Testing handler adapter [org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter@702a6610]
[DEBUG][2018-04-30 21:57:46,147][org.springframework.web.servlet.DispatcherServlet]Testing handler adapter [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter@4c82fb7c]
[DEBUG][2018-04-30 21:57:46,148][org.springframework.web.servlet.DispatcherServlet]Last-Modified value for [/createqqq] is: -1
[DEBUG][2018-04-30 21:57:46,148][org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod]Invoking [MyQuestionnaireController.createqqq] method with arguments []
[DEBUG][2018-04-30 21:57:46,148][org.springframework.web.servlet.mvc.method.annotation.ServletInvocableHandlerMethod]Method [createqqq] returned [createquestionnaire]
[DEBUG][2018-04-30 21:57:46,148][org.springframework.beans.factory.support.DefaultListableBeanFactory]Invoking afterPropertiesSet() on bean with name 'createquestionnaire'
[DEBUG][2018-04-30 21:57:46,148][org.springframework.web.servlet.view.InternalResourceViewResolver]Cached view [createquestionnaire]
[DEBUG][2018-04-30 21:57:46,148][org.springframework.web.servlet.DispatcherServlet]Rendering view [org.springframework.web.servlet.view.JstlView: name 'createquestionnaire'; URL [/createquestionnaire.jsp]] in DispatcherServlet with name 'springmvc'
[DEBUG][2018-04-30 21:57:46,148][org.springframework.web.servlet.view.JstlView]Rendering view with name 'createquestionnaire' with model {} and static attributes {}
[DEBUG][2018-04-30 21:57:46,149][org.springframework.web.servlet.view.JstlView]Forwarding to resource [/createquestionnaire.jsp] in InternalResourceView 'createquestionnaire'
[DEBUG][2018-04-30 21:57:46,596][org.springframework.web.servlet.DispatcherServlet]Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@1b076745
[DEBUG][2018-04-30 21:57:46,596][org.springframework.web.servlet.DispatcherServlet]Successfully completed request
[DEBUG][2018-04-30 21:57:46,596][org.springframework.web.context.support.XmlWebApplicationContext]Publishing event in WebApplicationContext for namespace 'springmvc-servlet': ServletRequestHandledEvent: url=[/createqqq]; client=[0:0:0:0:0:0:0:1]; method=[GET]; servlet=[springmvc]; session=[13EADC095CF14E8195FB31BCCF9561EF]; user=[null]; time=[450ms]; status=[OK]
[DEBUG][2018-04-30 21:57:46,596][org.springframework.web.context.support.XmlWebApplicationContext]Publishing event in Root WebApplicationContext: ServletRequestHandledEvent: url=[/createqqq]; client=[0:0:0:0:0:0:0:1]; method=[GET]; servlet=[springmvc]; session=[13EADC095CF14E8195FB31BCCF9561EF]; user=[null]; time=[450ms]; status=[OK]
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.DispatcherServlet]Bound request context to thread: org.apache.catalina.connector.RequestFacade@866317e
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.DispatcherServlet]DispatcherServlet with name 'springmvc' processing GET request for [/css/common.css]
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.DispatcherServlet]Testing handler map [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping@5b5e2a19] in DispatcherServlet with name 'springmvc'
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Looking up handler method for path /css/common.css
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Did not find handler method for [/css/common.css]
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.DispatcherServlet]Testing handler map [org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping@eb9a483] in DispatcherServlet with name 'springmvc'
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.handler.BeanNameUrlHandlerMapping]No handler mapping found for [/css/common.css]
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.DispatcherServlet]Testing handler map [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping@6cdfae21] in DispatcherServlet with name 'springmvc'
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.handler.SimpleUrlHandlerMapping]No handler mapping found for [/css/common.css]
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.DispatcherServlet]Testing handler map [org.springframework.web.servlet.handler.SimpleUrlHandlerMapping@640a6cac] in DispatcherServlet with name 'springmvc'
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.handler.SimpleUrlHandlerMapping]Matching patterns for request [/css/common.css] are [/css/**]
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.handler.SimpleUrlHandlerMapping]URI Template variables for request [/css/common.css] are {}
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.handler.SimpleUrlHandlerMapping]Mapping [/css/common.css] to HandlerExecutionChain with handler [ResourceHttpRequestHandler [locations=[ServletContext resource [/css/]], resolvers=[org.springframework.web.servlet.resource.PathResourceResolver@58ebf186]]] and 1 interceptor
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.DispatcherServlet]Testing handler adapter [org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter@5ec2e16e]
[DEBUG][2018-04-30 21:57:46,611][org.springframework.web.servlet.DispatcherServlet]Last-Modified value for [/css/common.css] is: -1
[DEBUG][2018-04-30 21:57:46,612][org.springframework.web.servlet.resource.ResourceHttpRequestHandler]Applying "invalid path" checks to path: common.css
[DEBUG][2018-04-30 21:57:46,612][org.springframework.web.servlet.resource.PathResourceResolver]Resolving resource for request path "common.css"
[DEBUG][2018-04-30 21:57:46,612][org.springframework.web.servlet.resource.PathResourceResolver]Checking location: ServletContext resource [/css/]
[DEBUG][2018-04-30 21:57:46,612][org.springframework.web.servlet.resource.PathResourceResolver]Found match: ServletContext resource [/css/common.css]
[DEBUG][2018-04-30 21:57:46,612][org.springframework.web.servlet.resource.ResourceHttpRequestHandler]Determined media type 'text/css' for ServletContext resource [/css/common.css]
[DEBUG][2018-04-30 21:57:46,613][org.springframework.web.servlet.DispatcherServlet]Null ModelAndView returned to DispatcherServlet with name 'springmvc': assuming HandlerAdapter completed request handling
[DEBUG][2018-04-30 21:57:46,613][org.springframework.web.servlet.DispatcherServlet]Cleared thread-bound request context: org.apache.catalina.connector.RequestFacade@866317e
[DEBUG][2018-04-30 21:57:46,613][org.springframework.web.servlet.DispatcherServlet]Successfully completed request
[DEBUG][2018-04-30 21:57:46,613][org.springframework.web.context.support.XmlWebApplicationContext]Publishing event in WebApplicationContext for namespace 'springmvc-servlet': ServletRequestHandledEvent: url=[/css/common.css]; client=[0:0:0:0:0:0:0:1]; method=[GET]; servlet=[springmvc]; session=[13EADC095CF14E8195FB31BCCF9561EF]; user=[null]; time=[2ms]; status=[OK]
[DEBUG][2018-04-30 21:57:46,613][org.springframework.web.context.support.XmlWebApplicationContext]Publishing event in Root WebApplicationContext: ServletRequestHandledEvent: url=[/css/common.css]; client=[0:0:0:0:0:0:0:1]; method=[GET]; servlet=[springmvc]; session=[13EADC095CF14E8195FB31BCCF9561EF]; user=[null]; time=[2ms]; status=[OK]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]Bound request context to thread: org.apache.catalina.connector.RequestFacade@1b076745
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]DispatcherServlet with name 'springmvc' processing GET request for [/create]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]Testing handler map [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping@5b5e2a19] in DispatcherServlet with name 'springmvc'
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Looking up handler method for path /create
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Found 1 matching mapping(s) for [/create] : [{[/create]}]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping]Returning handler method [public org.springframework.web.servlet.ModelAndView com.imut.controller.MyQuestionnaireController.createquestionnaire(java.lang.String,javax.servlet.http.HttpServletRequest)]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.beans.factory.support.DefaultListableBeanFactory]Returning cached instance of singleton bean 'myQuestionnaireController'
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]Testing handler adapter [org.springframework.web.servlet.mvc.HttpRequestHandlerAdapter@5ec2e16e]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]Testing handler adapter [org.springframework.web.servlet.mvc.SimpleControllerHandlerAdapter@702a6610]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]Testing handler adapter [org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerAdapter@4c82fb7c]
[DEBUG][2018-04-30 21:58:01,328][org.springframework.web.servlet.DispatcherServlet]Last-Modified value for [/create] is: -1
